bioid,inter_lower,inter_upper
B2V8841_BL_ADL_F,0.885857624847243,0.913923506785251
B2X3498_BL_ADL_M,0.842635847183066,0.885238208224369
B2X4825_BL_ADL_M,0.904969078943114,0.93048582006635
